file,bytes,sha1,sheetId,title,records,decodedRecords,unknownRecords,recordBytes,residualBytes,unresolvedFields,engineeringObjects,functionBlocks,junctions,ioObjects,deviceTags,loopTags,irefs,orefs,connections,danglingWires,descriptions,parameters,specEntries,fcDecoded,unresolvedXrefs,trailerClean,warnings,coverage
2531040C.CAD,3929,55b9e1702244,2531040,INITIAL RELEASE,120,120,0,3608,0,21,150,18,0,16,16,16,0,16,16,0,84,22,2,2,0,true,3,1
2531041C.CAD,1000,2e61ee188a2b,2531041C,,12,12,0,492,0,5,18,7,0,3,3,3,0,3,5,0,0,19,3,3,0,true,1,1
2531042C.CAD,2209,e7d6eaa0aa9a,2531042C,,54,54,0,1758,0,27,70,18,6,3,8,8,2,6,25,0,5,35,8,8,1,true,3,1
2531090C.CAD,3257,6066db15ca4c,2531090,LOW ALARM POINT LIMIT VALUE,95,95,0,2824,0,16,101,13,3,1,4,4,3,1,14,0,63,33,6,6,0,true,3,1
2531091C.CAD,3094,54394faddeaf,2531091,LOW ALARM POINT LIMIT VALUE,90,90,0,2660,0,13,94,12,2,1,3,3,3,0,12,0,62,31,6,6,0,true,2,1
2531092C.CAD,3526,799c6b46ab28,2531092,LOW ALARM POINT LIMIT VALUE,103,103,0,3046,0,18,109,15,4,1,4,4,3,1,17,0,65,42,8,8,0,true,2,1
2531093C.CAD,3758,8c9e5c685fcd,2531093,LOW ALARM POINT LIMIT VALUE,111,111,0,3204,0,23,113,18,6,1,2,2,2,0,22,0,63,57,12,12,0,true,2,1
2531094C.CAD,3302,bba775f0eac7,2531094,LOW ALARM POINT LIMIT VALUE,97,97,0,2850,0,14,101,13,3,1,3,3,3,0,13,0,66,37,6,6,0,true,2,1
25310A0C.CAD,4670,d3c317f5ab45,25310A0,NO.1 LIQ FLASH TANK,151,151,0,4218,0,31,159,14,4,4,5,5,3,2,31,0,100,32,4,4,0,true,2,1
25310A1C.CAD,6788,189b79dc766e,25310A1,CONCENTRATOR LEVEL,210,210,0,6108,0,63,231,28,13,7,11,11,6,6,63,0,104,79,12,12,1,true,2,1
25310A3C.CAD,5598,d2cef5d50e25,25310A3,PID CONTROL,182,182,0,5080,0,48,194,21,10,3,7,7,3,4,47,0,102,45,8,8,0,true,3,1
25310A4C.CAD,5124,7bc05eca0f15,25310A4,PID CONTROL,165,165,0,4646,0,39,177,18,7,3,7,7,2,5,39,0,99,40,6,6,0,true,2,1
25310A5C.CAD,4988,a63c8005f424,25310A5,PID CONTROL,162,162,0,4510,0,38,172,16,7,3,6,6,2,4,38,0,99,39,6,6,0,true,2,1
25310A6C.CAD,5008,875f11c6d44e,25310A6,PID CONTROL,162,162,0,4530,0,38,172,17,6,3,6,6,2,4,37,0,100,38,6,6,0,true,3,1
25310A7C.CAD,3066,62f8543124ff,25310A7,NO.2 DRAIN FLASH TK,100,100,0,2630,0,29,104,11,4,3,3,3,2,1,29,0,54,28,3,3,0,true,2,1
25310A9C.CAD,4424,69b66419fbb1,25310A9,SOAP STORAGE TANK,145,145,0,3978,0,30,149,12,4,3,3,3,2,1,30,0,97,30,4,4,0,true,2,1
